player,team,position,G,TAR,REC,YDS,TD,EPA,EPA/TAR,RT,yprr_blitz
A.J. Brown,PHI,WR,13,42,23,340,2,4.776,0.114,142,2.394
Adam Thielen,PIT,WR,11,6,3,19,0,-1.516,-0.253,40,0.475
Adam Trautman,DEN,TE,13,4,4,61,1,4.973,1.243,61,1
Adonai Mitchell,NYJ,WR,10,16,8,161,0,2.976,0.186,66,2.439
AJ Barner,SEA,TE,14,19,12,120,0,-1.358,-0.071,102,1.176
Albert Okwuegbunam,LV,TE,1,1,1,3,0,-0.666,-0.666,6,0.5
Alec Pierce,IND,WR,12,27,12,272,0,10.792,0.4,122,2.23
Alex Bachman,LV,WR,3,1,0,0,0,-0.839,-0.839,3,0.0001
Allen Lazard,NYJ,WR,10,6,3,24,0,-5.816,-0.969,43,0.558
Amon-Ra St. Brown,DET,WR,14,42,30,427,5,32.673,0.778,120,3.558
Andre Baccellia,ARZ,WR,1,0,0,0,0,,0,6,0.0001
Andrei Iosivas,CIN,WR,14,6,3,68,1,5.56,0.927,104,0.654
Andrew Ogletree,IND,TE,13,1,1,4,0,-0.097,-0.097,32,0.125
Anthony Firkser,DET,TE,4,1,1,7,0,0.884,0.884,9,0.778
Anthony Gould,IND,WR,1,1,1,3,0,-0.639,-0.639,7,0.429
Arian Smith,NYJ,WR,12,3,2,14,0,-3.754,-1.251,71,0.197
Ashton Dulin,IND,WR,8,3,2,68,0,5.484,1.828,19,3.579
Austin Hooper,NE,TE,13,7,6,70,0,4.35,0.621,56,1.25
Austin Trammell,JAX,WR,5,3,0,0,0,-7.079,-2.36,11,0.0001
Beaux Collins,NYG,WR,3,2,1,18,0,-3.161,-1.581,11,1.636
Ben Sims,MIN,TE,3,0,0,0,0,,0,8,0.0001
Ben Sinnott,WAS,TE,9,1,1,36,0,1.222,1.222,22,1.636
Ben Skowronek,PIT,WR,8,1,0,0,0,-0.701,-0.701,20,0.0001
Ben Yurosek,MIN,TE,4,1,0,0,0,-0.626,-0.626,6,0.0001
Blake Whiteheart,CLV,TE,8,2,2,4,0,-1.735,-0.868,21,0.19
Brandin Cooks,BUF,WR,14,10,5,51,0,2.073,0.207,92,0.554
Braxton Berrios,HST,WR,2,5,5,31,0,3.475,0.695,13,2.385
Brayden Willis,SF,TE,1,1,0,0,0,-0.729,-0.729,1,0.0001
Brenden Bates,CLV,TE,2,0,0,0,0,,0,4,0.0001
Brenton Strange,JAX,TE,8,10,9,93,0,6.821,0.682,54,1.722
Brevyn Spann-Ford,DAL,TE,12,2,2,12,0,0.356,0.178,23,0.522
Brian Thomas Jr.,JAX,WR,11,20,10,201,0,2.995,0.15,82,2.451
Britain Covey,PHI,WR,1,0,0,0,0,,0,1,0.0001
Brock Bowers,LV,TE,11,23,19,194,3,10.706,0.465,111,1.748
Brock Wright,DET,TE,11,10,6,35,1,0.322,0.032,57,0.614
Bryce Oliver,TEN,WR,2,0,0,0,0,,0,3,0.0001
Brycen Tremayne,CAR,WR,11,4,3,32,0,0.778,0.195,28,1.143
Cade Otton,TB,TE,13,21,12,110,0,-6.829,-0.325,149,0.738
Cade Stover,HST,TE,6,3,3,12,0,-0.49,-0.163,19,0.632
Calvin Austin III,PIT,WR,11,16,10,132,2,6.355,0.397,62,2.129
Calvin Ridley,TEN,WR,5,6,2,49,0,3.418,0.57,38,1.289
Cam Grandy,CIN,TE,2,1,1,6,0,0.162,0.162,4,1.5
Cameron Latu,PHI,TE,3,0,0,0,0,,0,4,0.0001
Carter Runyon,LV,TE,2,0,0,0,0,,0,2,0.0001
Casey Washington,ATL,WR,5,5,4,70,0,4.878,0.976,30,2.333
Cedric Tillman,CLV,WR,10,12,5,54,0,-0.063,-0.005,63,0.857
Cedrick Wilson Jr.,MIA,WR,6,2,1,7,0,1.655,0.828,13,0.538
CeeDee Lamb,DAL,WR,10,41,30,531,0,22.812,0.556,129,4.116
Charlie Jones,CIN,WR,1,0,0,0,0,,0,2,0.0001
Charlie Kolar,BLT,TE,13,5,3,45,0,1.883,0.377,34,1.324
Charlie Woerner,ATL,TE,14,2,2,9,0,-0.591,-0.296,70,0.129
Chig Okonkwo,TEN,TE,14,10,8,127,0,6.737,0.674,98,1.296
Chimere Dike,TEN,WR,14,21,14,113,0,0.687,0.033,89,1.27
Chris Blair,ATL,WR,1,0,0,0,0,,0,1,0.0001
Chris Godwin Jr.,TB,WR,6,16,10,146,0,4.025,0.252,60,2.433
Chris Manhertz,NYG,TE,9,0,0,0,0,,0,16,0.0001
Chris Moore,WAS,WR,11,9,4,94,1,6.099,0.678,85,1.106
Chris Olave,NO,WR,14,35,24,369,3,21.252,0.607,137,2.693
Christian Kirk,HST,WR,10,11,6,60,0,-4.55,-0.414,57,1.053
Christian Watson,GB,WR,8,15,9,116,2,7.845,0.523,63,1.841
Cody White,SEA,WR,6,2,2,30,0,3.625,1.813,12,2.5
Colby Parkinson,LA,TE,12,12,12,118,2,11.571,0.964,49,2.408
Cole Kmet,CHI,TE,12,19,13,139,1,3.742,0.197,92,1.511
Colson Yankoff,WAS,TE,8,2,1,4,0,1.841,0.921,15,0.267
Colston Loveland,CHI,TE,13,15,12,176,2,19.912,1.327,93,1.892
Connor Heyward,PIT,TE,2,0,0,0,0,,0,3,0.0001
Cooper Kupp,SEA,WR,13,22,14,147,1,-2.253,-0.102,104,1.413
Courtland Sutton,DEN,WR,13,25,14,193,0,7.271,0.291,104,1.856
